image_name,class_id,iou_cam,iou_oneshot,is_win,support_size,support_solidity,support_components,support_avg_cam,oneshot_output_size,oneshot_confidence
439448-39505-45552.png,2,0.8412839155381401,0.7565968238176078,False,14445.0,0.8272248310617341,1,21.001509,13370.0,0.9350752830505371
439448-39505-45552.png,3,0.8564509770553458,0.8404811114697301,False,28878.0,0.8193270158315837,1,19.609465,32933.0,0.9373297691345215
440930-33101-24496.png,0,0.8966236086477078,0.8134441971810343,False,23222.0,0.686757649148117,2,9.121558,22140.0,0.8462878465652466
440930-33101-24496.png,1,0.7054864368466046,0.6514402407333247,False,23141.0,0.9688913079886117,1,20.695507,27827.0,0.9563851356506348
440930-30413-24496.png,0,0.8218329879819344,0.4594708941922931,False,15286.0,0.7846649484192787,5,15.843902,20506.0,0.8737854361534119
440930-30413-24496.png,1,0.5790788446074099,0.5639441591331881,False,9578.0,0.9795470581566518,2,50.18651,11961.0,0.9328100085258484
1009800-18589-26213.png,0,0.8637476904196387,0.8714533345100149,True,18673.0,0.8651871668776463,2,19.930187,20039.0,0.9382244944572449
1009800-18589-26213.png,1,0.9042889846180888,0.8934957751721525,False,27007.0,0.9632969785439119,3,21.398083,29039.0,0.9818517565727234
439448-40849-45552.png,2,0.7737144869233555,0.6780562856158692,False,8432.0,0.8810344735428643,2,23.985481,12747.0,0.8832537531852722
439448-40849-45552.png,3,0.8103693570229721,0.68779432699902,False,21929.0,0.8297057066506544,2,11.051504,26192.0,0.9169652462005615
444302-29470-46917.png,2,0.7001508945641967,0.5053676865077307,False,10985.0,0.7596887650723265,2,24.267307,14579.0,0.8971123099327087
444302-29470-46917.png,3,0.6184855701660659,0.7282832855123845,True,13757.0,0.9040137697129056,3,13.984974,15223.0,0.9289398789405823
387709-23444-23688.png,0,0.5409365558095262,0.41930634592297794,False,7076.0,0.9473263545256163,2,12.523675,8037.0,0.8711540102958679
387709-23444-23688.png,3,0.9449197156939344,0.8687858873683212,False,44439.0,0.9086986749550139,1,17.686752,42087.0,0.9709956049919128
416003-17166-31886.png,0,0.17082191780041908,0.24546968360448396,True,17969.0,0.7811376137084646,6,7.5541887,26067.0,0.883134663105011
416003-17166-31886.png,3,0.5849066581896212,0.7060843646502273,True,31724.0,0.7323683542258236,1,20.766651,29335.0,0.9527405500411987
440930-21453-29872.png,0,0.8767867352564135,0.29467107501593154,False,8836.0,0.7806506508159753,5,15.424016,13253.0,0.8220759630203247
440930-21453-29872.png,3,0.5866779088881384,0.5577067951967978,False,12372.0,0.8666553000645927,3,10.671153,13257.0,0.9190384745597839
416003-13582-49806.png,0,0.4523865714657978,0.5755752853569278,True,26820.0,0.6703507513081391,3,8.668167,23554.0,0.841090977191925
416003-13582-49806.png,3,0.5347412882599528,0.47218879527770463,False,20184.0,0.7341638844551109,4,8.984693,21307.0,0.8583105802536011
432573-36337-10202.png,0,0.3829829909987571,0.4011185149769507,True,9284.0,0.8822355821303429,3,17.986252,13539.0,0.826299250125885
432573-36337-10202.png,3,0.6022089761420004,0.5485489627916675,False,33224.0,0.8063960598733512,2,13.472242,33384.0,0.8831325769424438
415432-31621-34056.png,0,0.6883812746607579,0.5445272992044649,False,19922.0,0.7114892896291553,5,12.043264,20253.0,0.8250141739845276
415432-31621-34056.png,3,0.32592998808829815,0.24620901638082945,False,12400.0,0.6856097090569464,3,4.752563,15971.0,0.8601840734481812
439448-40177-45552.png,2,0.882788540620735,0.4588080800100881,False,10777.0,0.48268912079544946,1,26.76696,13374.0,0.9311907291412354
439448-40177-45552.png,3,0.8140901679439544,0.5616277705890454,False,13474.0,0.7705427137940882,2,13.634692,14367.0,0.9424198269844055
415432-7497-29830.png,0,0.6330205647033822,0.5420547657272439,False,29691.0,0.6815137292680818,5,8.612713,34741.0,0.7984623312950134
415432-7497-29830.png,3,0.37734208997707724,0.3028994082661006,False,10447.0,0.8726259210271158,2,7.631189,13891.0,0.8802899122238159
439448-36817-47568.png,0,0.7312604260472213,0.6442960615480903,False,27338.0,0.8288367929415327,2,20.597298,24721.0,0.8982220888137817
439448-36817-47568.png,3,0.6254222972679513,0.6312153440309419,True,19123.0,0.8439314444312568,2,17.739588,21513.0,0.9352883100509644
444302-30142-48261.png,0,0.5436949466537033,0.6445385266177359,True,9399.0,0.9118160651920839,1,16.88053,9419.0,0.8814317584037781
444302-30142-48261.png,3,0.681698619717393,0.617348599135607,False,24938.0,0.6663994441772221,1,14.276825,26193.0,0.913173496723175
430252-29219-13225.png,0,0.10395795695451503,0.08848266391276324,False,2036.0,0.890249234805422,1,3.9728177,11432.0,0.9179311990737915
430252-29219-13225.png,3,0.8257733244464956,0.673772758684633,False,30374.0,0.7823555353859541,2,15.240092,29503.0,0.9257596731185913
440682-31188-23030.png,0,0.6641344868351878,0.7402162918586932,True,13541.0,0.9209704109918139,3,11.607874,10883.0,0.8812718987464905
440682-31188-23030.png,3,0.8745779420610086,0.550168147353557,False,14542.0,0.7595974905439205,6,23.356073,23708.0,0.8391658663749695
440682-19540-22134.png,0,0.3709133904598928,0.43384892623262883,True,8995.0,0.9343597891716,3,28.256796,12150.0,0.8200708627700806
440682-19540-22134.png,3,0.7596487119260036,0.6894378678652668,False,30975.0,0.7521689315911354,2,10.493043,36005.0,0.8845290541648865
387709-22548-25480.png,0,0.22776051959506347,0.24737691684348498,True,2226.0,0.9228855721393034,1,39.022552,8775.0,0.82430499792099
387709-22548-25480.png,3,0.8937540244502056,0.7296871339269123,False,32903.0,0.6956530931540446,1,14.32384,35113.0,0.9101759195327759
440930-39373-15536.png,0,0.7617068748915993,0.3980864115082649,False,10849.0,0.9282502339347908,4,21.010191,11960.0,0.899392306804657
440930-39373-15536.png,1,0.6677800616306382,0.7105626414493643,True,12819.0,0.9209051724137931,1,19.328588,15512.0,0.9000030159950256
440682-33876-31094.png,0,0.8465473145194894,0.7233546445488263,False,13932.0,0.8666426961203877,2,44.695045,10253.0,0.9089310765266418
440682-33876-31094.png,3,0.9455580563763919,0.5930927398345388,False,29351.0,0.6733632093718561,3,17.685482,30363.0,0.8795526027679443
387709-28820-28168.png,0,0.7355614972934241,0.65869822482089,False,15771.0,0.9256741505223753,3,29.300436,16466.0,0.8738701939582825
387709-28820-28168.png,3,0.8732172653441672,0.43923258722537933,False,18497.0,0.6690264152926364,2,16.775774,22067.0,0.9000036120414734
